Latitude Decimal Degrees,Longitude Decmal Degrees,Month,Day,YEAR,Total Pieces >500um,micro,macro,weight,micro,macro,Source,Note,"Pieces/km^2, Mesh Size 1mm ",Pieces/km^2 Mesh Size 0.71mm,"Pieces/km^2, Mesh Size 0.5mm","Pieces/km^2, Mesh Size 0.25mm","Pieces/km^2, Mesh Size 0.053mm",Area m^2,Mesh.Size
40.03333333,-137.9,7,7,1988,99200,24800,74400,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",74400,5500,5500,11000,2800,363,53
43.31666667,148.6666667,10,30,1987,3400,0,3400,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",3400,0,0,,,290,500
41.15,-170,8,12,1987,8400,0,8400,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",8400,0,0,,,237,500
39.63333333,-170,8,12,1987,11400,0,11400,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",11400,0,0,,,176,500
38.85,-170.1333333,8,13,1987,0,0,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,0,0,,,191,500
37.5,-170,8,13,1987,60800,26000,34800,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",34800,21700,4300,,,230,500
36.03333333,-170,8,15,1987,0,0,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,0,0,,,306,500
36.65,-162.5833333,8,17,1987,84900,65300,19600,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",19600,29400,35900,,,306,500
37.81666667,-160.2,8,19,1987,10600,10600,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,7100,3500,,,283,500
40,-160,8,19,1987,9800,3300,6500,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",6500,3300,0,,,306,500
42.05,-160,8,20,1987,19600,0,19600,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",19600,0,0,,,306,500
37.83333333,-149.9666667,8,25,1987,35700,0,35700,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",35700,0,0,,,84,500
36,-149.8166667,8,26,1987,6600,3300,3300,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",3300,3300,0,,,306,500
34.81666667,-144.9166667,8,28,1987,130700,32700,98000,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",98000,22900,9800,,,306,500
34.68333333,-142.35,8,29,1987,26200,13100,13100,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",13100,3300,9800,,,306,500
47.98333333,-166.6833333,7,13,1988,43900,3400,40500,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",40500,0,3400,,,296,500
49.68333333,-171.75,7,14,1988,0,0,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,0,0,,,287,500
49.81666667,-175.5166667,7,14,1988,0,0,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,0,0,,,287,500
50.46666667,-178.9666667,7,15,1988,0,0,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,0,0,,,344,500
51.53333333,174.9666667,7,16,1988,5200,5200,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,2600,2600,,,382,500
