Latitude,Longitude,Month,Day,Year,Total pieces/km^2,Micro,Macro,Total Weight,micro,macro,Source,Info,Mesh Size,Count/km^2 .335-.999 mm,Count/km^2 1.00-4.75 mm,Count/km^2 4.75-200 mm,Count/km^2 >200 mm,total/km^2,g/km^2 .335-.999 mm,g/km^2 1.00-4.75 mm,g/km^2 4.75-200 mm,g/km^2 >200 mm,Sea State (Beaufort Scale),INFO
-35.3157,118.62,8,20,2011,1541.77,0.00,1541.77,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,"1,541.77",0,"1,541.77",,,,,4,Southern Surveyor/ss2011_t03
-35.3172,118.6137,8,20,2011,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Southern Surveyor/ss2011_t03
-35.3183,118.6074,8,20,2011,2852.58,0.00,2852.58,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,"2,852.58",0,"2,852.58",,,,,4,Southern Surveyor/ss2011_t03
-33.12,114.4594,8,22,2011,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Southern Surveyor/ss2011_t03
-33.1238,114.4373,8,22,2011,458.37,0.00,458.37,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,458.37,0,458.37,,,,,4,Southern Surveyor/ss2011_t03
-39.6546,148.8843,4,12,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,6,Southern Surveyor/ss2012_t01
-39.6467,148.8677,4,12,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,6,Southern Surveyor/ss2012_t01
-39.6342,148.8566,4,12,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,6,Southern Surveyor/ss2012_t01
-24.9225,155.1969,5,4,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,6,Southern Surveyor/ss2012_t02
-24.9395,155.1771,5,4,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,6,Southern Surveyor/ss2012_t02
-23.2089,166.6428,5,7,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Southern Surveyor/ss2012_t02
-23.2058,166.6593,5,7,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Southern Surveyor/ss2012_t02
-23.7533,170.5329,6,9,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,5,Southern Surveyor/ss2012_t03
-23.7615,170.5216,6,9,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,5,Southern Surveyor/ss2012_t03
-23.7698,170.5103,6,9,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,5,Southern Surveyor/ss2012_t03
-25.0842,168.6944,6,9,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Southern Surveyor/ss2012_t03
-25.0929,168.6825,6,9,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Southern Surveyor/ss2012_t03
-26.2961,166.9962,6,10,2012,764.53,0.00,764.53,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,764.53,0,764.53,,,,,5,Southern Surveyor/ss2012_t03
-27.5561,165.1763,6,10,2012,697.16,0.00,697.16,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,697.16,0,697.16,,,,,6,Southern Surveyor/ss2012_t03
-35.6615,155.0586,6,15,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,5,Southern Surveyor/ss2012_t03
-35.6732,155.0482,6,15,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,5,Southern Surveyor/ss2012_t03
-42.3087,148.9488,6,16,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Southern Surveyor/ss2012_t03
-10.7735,142.3012,7,28,2012,446.47,446.47,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,446.47,0,0,0,446.47,,,,,4,Enterprise/Austral Fisheries Transit
-12.3042,141.6185,7,29,2012,451.03,0.00,451.03,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,451.03,0,451.03,,,,,6,Enterprise/Austral Fisheries Transit
-15.4937,141.0434,7,30,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Enterprise/Austral Fisheries Transit
-15.5245,141.0381,7,30,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Enterprise/Austral Fisheries Transit
-17.0539,140.7762,7,30,2012,0.00,0.00,0.00,0.00,0.00,0.00,J. Reisser,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,0,0.00,,,,,4,Enterprise/Austral Fisheries Transit
