Latitude ,Longitude ,Month,Day,Year,#/km2,Microplastics #/km^2,Macroplastics # /km^2,Total Wieght (g)/km^2,Microplastics Weight (g)/ km^2,Macroplastics Weight (g) /km^2,Source,Notes,Mesh Size,Conc
17.9,-67.82,12,17,1989,0,,,,,,SEA Education,Not adjusted,333um,17.9-67.82121719890SEA EducationNot adjusted333um
18.03,-68.42,12,18,1989,0,,,,,,SEA Education,Not adjusted,333um,18.03-68.42121819890SEA EducationNot adjusted333um
18.03,-68.42,12,18,1989,0,,,,,,SEA Education,Not adjusted,333um,18.03-68.42121819890SEA EducationNot adjusted333um
17.4,-68.78,12,18,1989,0,,,,,,SEA Education,Not adjusted,333um,17.4-68.78121819890SEA EducationNot adjusted333um
17.4,-68.78,12,18,1989,0,,,,,,SEA Education,Not adjusted,333um,17.4-68.78121819890SEA EducationNot adjusted333um
16.68,-71.35,12,22,1989,0,,,,,,SEA Education,Not adjusted,333um,16.68-71.35122219890SEA EducationNot adjusted333um
16.68,-71.35,12,22,1989,0,,,,,,SEA Education,Not adjusted,333um,16.68-71.35122219890SEA EducationNot adjusted333um
17.35,-72.5,12,23,1989,0,,,,,,SEA Education,Not adjusted,333um,17.35-72.5122319890SEA EducationNot adjusted333um
17.35,-72.5,12,23,1989,0,,,,,,SEA Education,Not adjusted,333um,17.35-72.5122319890SEA EducationNot adjusted333um
16.22,-74.47,12,24,1989,0,,,,,,SEA Education,Not adjusted,333um,16.22-74.47122419890SEA EducationNot adjusted333um
16.22,-74.47,12,24,1989,0,,,,,,SEA Education,Not adjusted,333um,16.22-74.47122419890SEA EducationNot adjusted333um
16.48,-76,12,25,1989,0,,,,,,SEA Education,Not adjusted,333um,16.48-76122519890SEA EducationNot adjusted333um
16.48,-76,12,25,1989,0,,,,,,SEA Education,Not adjusted,333um,16.48-76122519890SEA EducationNot adjusted333um
16.88,-77.5,12,27,1989,0,,,,,,SEA Education,Not adjusted,333um,16.88-77.5122719890SEA EducationNot adjusted333um
16.88,-77.5,12,27,1989,0,,,,,,SEA Education,Not adjusted,333um,16.88-77.5122719890SEA EducationNot adjusted333um
24.62,-72.03,4,12,1990,0,,,,,,SEA Education,Not adjusted,333um,24.62-72.0341219900SEA EducationNot adjusted333um
24.62,-72.03,4,12,1990,0,,,,,,SEA Education,Not adjusted,333um,24.62-72.0341219900SEA EducationNot adjusted333um
22.27,-73.75,4,13,1990,0,,,,,,SEA Education,Not adjusted,333um,22.27-73.7541319900SEA EducationNot adjusted333um
22.27,-73.75,4,13,1990,0,,,,,,SEA Education,Not adjusted,333um,22.27-73.7541319900SEA EducationNot adjusted333um
24.08,-70.12,4,15,1990,1080,,,,,,SEA Education,Not adjusted,333um,24.08-70.1241519901080SEA EducationNot adjusted333um
24.08,-70.12,4,15,1990,1080,,,,,,SEA Education,Not adjusted,333um,24.08-70.1241519901080SEA EducationNot adjusted333um
