DD,DD,Month,Day,Year,Particles/km^2,Particles/m^2 <700um,Particles/m^2 >700um,weight,micro,macro,Source,Note,,,,Particles,Characterized Particles,Particles/m^2 >700um,Particles/m^2 <700um,Particles/m^2 Total,Particles/km^2,g/km^2 <700um,mg/m^2 <700um
37.459,11.83,6,8,2013,1280000,650000,620000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,278,70,0.62,0.65,1.28,1280000,2286.5,"5,716"
37.587,12.06,6,8,2013,490000,380000,120000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,91,119,0.12,0.38,0.49,490000,54.38,0.136
37.648,12.145,6,8,2013,460000,280000,180000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,99,50,0.18,0.28,0.46,460000,59.94,0.15
37.729,12.335,6,8,2013,110000,100000,10000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,25,26,0.01,0.1,0.11,110000,4.52,0.011
38.086,11.957,6,8,2013,180000,130000,50000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,27,480,0.05,0.13,0.18,180000,40.4,0.101
38.12,11.846,6,8,2013,1720000,1060000,660000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,264,12,0.66,1.06,1.72,1720000,571.8,"1,429"
38.181,11.667,6,8,2013,410000,260000,150000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,66,46,0.15,0.26,0.41,410000,105.92,0.265
38.234,11.531,6,8,2013,1150000,920000,230000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,203,6,0.23,0.92,1.15,1150000,124.72,0.312
38.534,10.869,6,9,2013,790000,570000,220000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,124,74,0.22,0.57,0.79,790000,4234.92,"10,587"
38.632,10.684,6,9,2013,710000,560000,160000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,123,50,0.16,0.56,0.71,710000,34.78,0.087
38.7111,10.47,6,9,2013,650000,280000,370000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,110,50,0.37,0.28,0.65,650000,248.67,0.622
38.805,10.258,6,9,2013,830000,530000,300000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,159,37,0.3,0.53,0.83,830000,176.81,0.442
38.857,10.183,6,9,2013,340000,250000,90000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,53,63,0.09,0.25,0.34,340000,32.36,0.081
38.914,10.015,6,9,2013,920000,780000,150000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,76,132,0.15,0.78,0.92,920000,48.66,0.122
39.014,9.787,6,9,2013,1350000,1150000,200000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,88,31,0.2,1.15,1.35,1350000,61.44,0.154
38.19171,8.8,6,11,2013,330000,250000,80000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,51,30,0.08,0.25,0.33,330000,290.7,0.727
38.201,7.813,6,11,2013,470000,370000,100000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,92,46,0.1,0.37,0.47,470000,440.35,"1,101"
