Latitude (N),Longitude (E),Month,Day,Year,Debris density (#/km2),micro,macro,Weigth,micro,macro,Source,Notes,Tow Length (m),Area filtered (m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.62,-70.07,10,15,1986,0,,,,,,SEA Education,Not adjusted,1482,1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.67,-69.43,10,16,1986,0,,,,,,SEA Education,Not adjusted,927,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.45,-64.88,10,18,1986,3597,,,,,,SEA Education,Not adjusted,1390,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.48,-63.70,10,19,1986,3597,,,,,,SEA Education,Not adjusted,556,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.83,-61.32,10,21,1986,13492,,,,,,SEA Education,Not adjusted,1112,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.97,-60.68,10,21,1986,17989,,,,,,SEA Education,Not adjusted,556,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.40,-60.58,10,22,1986,8099,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.52,-60.50,10,22,1986,19444,,,,,,SEA Education,Not adjusted,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.87,-59.00,10,23,1986,0,,,,,,SEA Education,Not adjusted,1170,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.03,-58.63,10,24,1986,44444,,,,,,SEA Education,Not adjusted,1440,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.37,-57.27,10,25,1986,25795,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.72,-56.75,10,27,1986,0,,,,,,SEA Education,Not adjusted,1668,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.83,-57.93,10,28,1986,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.03,-57.87,10,29,1986,0,,,,,,SEA Education,Not adjusted,1668,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.02,-57.67,10,29,1986,0,,,,,,SEA Education,Not adjusted,741,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.02,-58.95,10,30,1986,0,,,,,,SEA Education,Not adjusted,2316,2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.83,-60.83,10,31,1986,0,,,,,,SEA Education,Not adjusted,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.28,-61.00,10,31,1986,0,,,,,,SEA Education,Not adjusted,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.13,-61.78,11,5,1986,0,,,,,,SEA Education,Not adjusted,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.33,-61.25,11,6,1986,0,,,,,,SEA Education,Not adjusted,1980,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.42,-78.62,2,7,1987,1080,,,,,,SEA Education,Not adjusted,926,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.68,-77.39,2,8,1987,400,,,,,,SEA Education,Not adjusted,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.47,-75.28,2,9,1987,1012,,,,,,SEA Education,Not adjusted,2963,2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.45,-73.68,2,15,1987,1080,,,,,,SEA Education,Not adjusted,926,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.67,-73.56,2,16,1987,0,,,,,,SEA Education,Not adjusted,1204,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.00,-73.87,2,16,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.85,-73.82,2,17,1987,0,,,,,,SEA Education,Not adjusted,1389,1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.72,-74.12,2,17,1987,1157,,,,,,SEA Education,Not adjusted,2593,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.99,-73.60,2,18,1987,0,,,,,,SEA Education,Not adjusted,1389,1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.54,-73.88,2,18,1987,3600,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.93,-74.64,2,19,1987,0,,,,,,SEA Education,Not adjusted,1204,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.69,-75.06,2,19,1987,1350,,,,,,SEA Education,Not adjusted,3704,3704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.34,-75.85,2,20,1987,0,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.25,-76.13,2,23,1987,3780,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.20,-77.03,2,25,1987,864,,,,,,SEA Education,Not adjusted,2315,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.24,-77.15,2,26,1987,288,,,,,,SEA Education,Not adjusted,3473,3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.35,-79.47,2,27,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.27,-80.22,2,28,1987,0,,,,,,SEA Education,Not adjusted,1296,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.77,-81.33,2,28,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.72,-83.78,3,1,1987,1080,,,,,,SEA Education,Not adjusted,926,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.51,-85.08,3,1,1987,1440,,,,,,SEA Education,Not adjusted,2778,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.53,-85.33,3,2,1987,0,,,,,,SEA Education,Not adjusted,1037,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.25,-85.87,3,2,1987,0,,,,,,SEA Education,Not adjusted,2343,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.46,-79.46,4,7,1987,309,,,,,,SEA Education,Not adjusted,3241,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.27,-78.23,4,8,1987,3857,,,,,,SEA Education,Not adjusted,2593,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.42,-76.03,4,10,1987,982,,,,,,SEA Education,Not adjusted,2037,2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.65,-76.08,4,10,1987,2160,,,,,,SEA Education,Not adjusted,2315,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.70,-76.18,4,14,1987,356,,,,,,SEA Education,Not adjusted,2807,2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.92,-75.60,4,14,1987,3138,,,,,,SEA Education,Not adjusted,1593,1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.92,-75.60,4,14,1987,1056,,,,,,SEA Education,Not adjusted,1894,1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.57,-74.38,4,15,1987,4950,,,,,,SEA Education,Not adjusted,2222,2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.57,-74.38,4,15,1987,3175,,,,,,SEA Education,Not adjusted,2205,2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.95,-72.17,4,17,1987,4909,,,,,,SEA Education,Not adjusted,2037,2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.12,-71.35,4,18,1987,6479,,,,,,SEA Education,Not adjusted,926,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.72,-70.32,4,18,1987,1800,,,,,,SEA Education,Not adjusted,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.67,-69.27,4,18,1987,4320,,,,,,SEA Education,Not adjusted,926,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.67,-69.27,4,19,1987,10799,,,,,,SEA Education,Not adjusted,463,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.82,-66.15,4,21,1987,2348,,,,,,SEA Education,Not adjusted,426,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.71,-64.76,4,25,1987,24298,,,,,,SEA Education,Not adjusted,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.71,-64.76,4,25,1987,205184,,,,,,SEA Education,Not adjusted,185,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.54,-65.63,4,26,1987,13199,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.54,-65.63,4,26,1987,5940,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.68,-66.58,4,28,1987,2160,,,,,,SEA Education,Not adjusted,2778,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.52,-70.58,5,25,1987,0,,,,,,SEA Education,Not adjusted,4630,4630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.97,-70.55,5,25,1987,3240,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.90,-69.97,5,26,1987,5400,,,,,,SEA Education,Not adjusted,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.12,-69.68,5,26,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.12,-69.68,5,26,1987,1620,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.37,-69.38,5,27,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.37,-69.38,5,27,1987,1620,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.50,-69.42,5,27,1987,29158,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.50,-69.42,5,27,1987,29698,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.40,-69.43,5,28,1987,11159,,,,,,SEA Education,Not adjusted,2778,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.40,-69.43,5,28,1987,12599,,,,,,SEA Education,Not adjusted,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.48,-68.73,5,28,1987,2700,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.08,-67.67,5,29,1987,6479,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.52,-66.75,5,29,1987,3780,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.52,-66.75,5,29,1987,2700,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.90,-64.77,5,30,1987,36254,,,,,,SEA Education,Not adjusted,1296,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.65,-64.98,5,31,1987,20518,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.37,-64.63,5,31,1987,5616,,,,,,SEA Education,Not adjusted,2315,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.37,-64.63,5,31,1987,13799,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.90,-64.45,5,31,1987,56156,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.90,-64.45,5,31,1987,46436,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.38,-64.17,6,1,1987,34197,,,,,,SEA Education,Not adjusted,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.83,-64.85,6,6,1987,5850,,,,,,SEA Education,Not adjusted,2222,2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.83,-64.85,6,6,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.77,-65.42,6,6,1987,13499,,,,,,SEA Education,Not adjusted,1482,1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.77,-65.42,6,6,1987,16199,,,,,,SEA Education,Not adjusted,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.87,-65.73,6,7,1987,1286,,,,,,SEA Education,Not adjusted,3889,3889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.87,-65.73,6,7,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.90,-64.68,6,9,1987,16199,,,,,,SEA Education,Not adjusted,1296,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.90,-64.68,6,9,1987,10259,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.38,-64.87,6,9,1987,9359,,,,,,SEA Education,Not adjusted,1389,1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.62,-65.95,6,11,1987,2592,,,,,,SEA Education,Not adjusted,2315,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.62,-65.95,6,11,1987,17279,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.37,-66.48,6,12,1987,7199,,,,,,SEA Education,Not adjusted,3334,3334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.57,-66.53,6,14,1987,2700,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.45,-65.98,6,14,1987,1080,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.45,-65.98,6,14,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.88,-65.47,6,15,1987,0,,,,,,SEA Education,Not adjusted,3704,3704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.55,-64.88,6,16,1987,2700,,,,,,SEA Education,Not adjusted,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.55,-64.88,6,16,1987,2160,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.98,-66.45,6,23,1987,741,,,,,,SEA Education,Not adjusted,1350,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.43,-63.60,12,4,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.43,-63.60,12,5,1987,432,,,,,,SEA Education,Not adjusted,2315,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.90,-62.75,12,5,1987,2160,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.90,-62.75,12,5,1987,2057,,,,,,SEA Education,Not adjusted,1945,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.26,-62.65,12,6,1987,1038,,,,,,SEA Education,Not adjusted,1926,1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.26,-62.65,12,6,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.37,-62.48,12,6,1987,16919,,,,,,SEA Education,Not adjusted,2778,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.33,-62.45,12,6,1987,39874,,,,,,SEA Education,Not adjusted,2408,2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.13,-62.03,12,7,1987,8279,,,,,,SEA Education,Not adjusted,2778,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.13,-62.03,12,7,1987,1200,,,,,,SEA Education,Not adjusted,3334,3334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.95,-61.88,12,7,1987,0,,,,,,SEA Education,Not adjusted,2037,2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.95,-61.88,12,7,1987,1080,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.27,-61.47,12,8,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.27,-61.47,12,8,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.50,-62.03,12,12,1987,0,,,,,,SEA Education,Not adjusted,1945,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.50,-62.03,12,12,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.39,-63.05,12,12,1987,2700,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.39,-63.05,12,12,1987,1080,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.13,-64.27,12,12,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.13,-64.27,12,13,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.43,-65.48,12,13,1987,1620,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.43,-65.48,12,13,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.45,-66.55,12,14,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.47,-66.52,12,14,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.27,-67.50,12,14,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.27,-67.50,12,14,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.94,-68.26,12,15,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.94,-68.26,12,15,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.97,-70.23,12,18,1987,1080,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.97,-70.23,12,18,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.35,-71.32,12,19,1987,6479,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.35,-71.32,12,19,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.80,-72.48,12,19,1987,2400,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.80,-72.48,12,19,1987,3600,,,,,,SEA Education,Not adjusted,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.25,-75.83,12,20,1987,3240,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.25,-75.83,12,20,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.82,-76.78,12,21,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.82,-76.78,12,21,1987,1080,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.44,-78.05,12,21,1987,3780,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.44,-78.05,12,21,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.53,-79.06,12,22,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.53,-79.06,12,22,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.40,-82.63,12,27,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.40,-82.63,12,27,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.74,-83.72,12,27,1987,2700,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.74,-83.72,12,27,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.36,-84.47,12,28,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.36,-84.47,12,28,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.33,-85.63,12,28,1987,982,,,,,,SEA Education,Not adjusted,2037,2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.33,-85.63,12,28,1987,1350,,,,,,SEA Education,Not adjusted,2222,2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.23,-86.26,12,28,1987,0,,,,,,SEA Education,Not adjusted,2037,2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.23,-86.26,12,28,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.22,-86.29,12,29,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.17,-86.29,12,29,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.28,-60.29,7,13,1989,0,,,,,,SEA Education,Not adjusted,1574,1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.93,-70.65,10,12,1989,569,,,,,,SEA Education,Not adjusted,1759,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.93,-70.65,10,12,1989,1080,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.30,-69.77,10,12,1989,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.88,-67.15,10,15,1989,0,,,,,,SEA Education,Not adjusted,1111,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.83,-63.73,10,18,1989,10799,,,,,,SEA Education,Not adjusted,463,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.83,-63.73,10,18,1989,133909,,,,,,SEA Education,Not adjusted,926,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.90,-63.38,10,19,1989,17279,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.90,-63.38,10,19,1989,21058,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.70,-61.98,10,20,1989,74874,,,,,,SEA Education,Not adjusted,1389,1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.70,-61.98,10,20,1989,2880,,,,,,SEA Education,Not adjusted,1389,1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.87,-57.38,10,23,1989,8998,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.87,-57.38,10,23,1989,2160,,,,,,SEA Education,Not adjusted,2778,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.65,-57.20,10,24,1989,7058,,,,,,SEA Education,Not adjusted,1842,1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.65,-57.20,10,24,1989,37797,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.90,-59.27,10,30,1989,9200,,,,,,SEA Education,Not adjusted,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
