"","Day","Month","Year","Latitude","Longitude","X..km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Microplastics...km.2","Macroplastics....km.2","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","v10Mps"
"25",15,8,1986,41.33,153,24300,76.9,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",16,8,1986,40.33,150.5,23100,32.4,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",21,5,2019,31.85,-15.05,20840.4380281156,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",24,5,2019,33.8933333333333,-17.1418333333333,3515.72525310292,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",26,5,2019,36.9421666666667,-23.9345,11028.1829456786,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",29,5,2019,37.9765,-24.2238333333333,811.965117978532,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2,6,2019,44.761,-18.9551666666667,5905.20085802568,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",6,6,2019,51.2948333333333,-8.973,2841.87791292486,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",15,10,1972,35,140,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",15,10,1972,35,141.319,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
