"","X","Day","Month","Year","Lat","Lon","km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Micro","Macro","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","MeasuredWind","Mesh.Size == as.numeric(Mesh.Size)","Corrected","wind","CorrectedConcentration"
"27",27,21,5,2019,31.85,-15.05,20840.4380281156,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",7.34017777442932,45667.4789055059
"28",28,24,5,2019,33.8933333333333,-17.1418333333333,3515.72525310292,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.59994339942932,7141.84621842879
"29",29,26,5,2019,36.9421666666667,-23.9345,11028.1829456786,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.53060746192932,19883.6761819868
"30",30,29,5,2019,37.9765,-24.2238333333333,811.965117978532,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.30550980567932,1425.35136517068
"31",31,2,6,2019,44.761,-18.9551666666667,5905.20085802568,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",7.32903164625168,12925.752025629
"32",32,6,6,2019,51.2948333333333,-8.973,2841.87791292486,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.36760586500168,5631.1152708624
"33",33,15,10,1972,35,140,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"34",34,15,10,1972,35,141.319,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"35",35,15,10,1972,35,142.198,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"36",36,15,10,1972,35,144.176,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"37",37,15,10,1972,35,145.604,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"38",38,15,10,1972,35,150.989,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"39",39,15,10,1972,35,155.165,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"40",40,15,10,1972,35,160.219,22647.0588235294,308,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"41",41,15,10,1972,35,165.714,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"42",42,15,10,1972,35,169.999,25955.8823529412,353,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"43",43,15,10,1972,35,175.055,24264.7058823529,330,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"44",44,15,10,1972,35,-180,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"45",45,15,10,1972,35,-177.582,45294.1176470588,616,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"46",46,15,10,1972,35,-174.945,11470.5882352941,156,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"47",47,15,10,1972,35,-172.637,24264.7058823529,330,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"48",48,15,10,1972,35,-170.109,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"49",49,15,10,1972,35,-165.055,33970.5882352941,462,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"50",50,15,10,1972,35,-162.637,4852.94117647059,66,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"51",51,15,10,1972,35,-160.219,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"52",52,15,10,1972,35,-157.582,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"53",53,15,10,1972,35,-155.055,0,0,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
"54",54,15,10,1972,35,-152.857,21102.9411764706,287,"Wong et al. 1974",150,"Count concentration calculated and day set to 15",NA,8e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",NA,NA
