"","X.1","X","Day","Month","Year","Lat","Lon","km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Micro","Macro","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","MeasuredWind","Mesh.Size....as.numeric.Mesh.Size.","Corrected","wind","CorrectedConcentration","Latcopy","Basin","OceanScaled","Date","DateFormatted","censored","fitkm2","fitlogkm2","PredictedVals","Residuals"
"11",11,11,30,7,1986,39.75,-175,6328.32356142617,93.9,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.34954077005386,6328.32356142617,39.75,"North Pacific",-0.00889204372416629,2753,1986-07-30,FALSE,6328.32356142617,8.75279063984482,8.03518707528787,0.717603564556956
"12",12,12,31,7,1986,42,-175,53940.732853637,166.1,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.58342748880386,53940.732853637,42,"North Pacific",-0.0299899925539598,2754,1986-07-31,FALSE,53940.732853637,10.8956411830611,8.02401254758915,2.87162863547199
"13",13,13,2,8,1986,41,-179.5,333207.172942534,251.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",7.00287622213364,333207.172942534,41,"North Pacific",-0.0428922314968315,2756,1986-08-02,FALSE,333207.172942534,12.7165197164817,8.01717887728282,4.69934083919887
"14",14,14,5,8,1986,40,177.5,16569.8782020775,81,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.66620630025864,16569.8782020775,40,"North Pacific",-0.0294294104823509,2759,1986-08-05,FALSE,16569.8782020775,9.71534175988529,8.02430945985949,1.69103230002581
"15",15,15,5,8,1986,40,174.5,409076.214040789,312.3,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.53827661275864,409076.214040789,40,"North Pacific",0.0807361782302257,2759,1986-08-05,FALSE,409076.214040789,12.9216567600634,8.08265865922697,4.8389981008364
"16",16,16,6,8,1986,40,171.5,324257.468263716,3941.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.29169458150864,324257.468263716,40,"North Pacific",-0.0533792468406557,2760,1986-08-06,FALSE,324257.468263716,12.6892931343382,8.01162443005281,4.67766870428536
"17",17,17,7,8,1986,40,168.5,357971.827491836,278.3,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.34003442525864,357971.827491836,40,"North Pacific",-0.0151823646540091,2761,1986-08-07,FALSE,357971.827491836,12.7882095681294,8.0318554070754,4.756354161054
"18",18,18,7,8,1986,40,165.5,33864.5036573138,47.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.36249536275864,33864.5036573138,40,"North Pacific",-0.00446639579041199,2761,1986-08-07,FALSE,33864.5036573138,10.4301226550323,8.0375311195274,2.39259153550493
"19",19,19,9,8,1986,41,160,17247.4240106293,74.1,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.77362817525864,17247.4240106293,41,"North Pacific",-0.0579966728515393,2763,1986-08-09,FALSE,17247.4240106293,9.75541807859112,8.00917881056289,1.74623926802823
"20",20,20,10,8,1986,43,160,0,0,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.44501489400864,0,43,"North Pacific",-0.0150525456479523,2764,1986-08-10,TRUE,89.6683337734324,4.49611768302966,8.03192416570643,-3.53580648267677
"21",21,21,10,8,1986,43.83,158.75,25226.184055681,30.2,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.24652856588364,25226.184055681,43.83,"North Pacific",-0.0576367201529273,2764,1986-08-10,FALSE,25226.184055681,10.1356377838895,8.00936945949437,2.12626832439511
"22",22,22,11,8,1986,42.58,157,27512.754882982,87.4,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.29169458150864,27512.754882982,42.58,"North Pacific",-0.0345312974203829,2765,1986-08-11,FALSE,27512.754882982,10.2224049900528,8.02160724566015,2.2007977443927
"23",23,23,12,8,1986,40.5,157,71107.8949109118,524.3,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.44184106588364,71107.8949109118,40.5,"North Pacific",0.0179981931213248,2766,1986-08-12,FALSE,71107.8949109118,11.1719536491615,8.04942948808729,3.12252416107423
"24",24,24,13,8,1986,40.08,154.33,38275.7927997282,38.2,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.47235864400864,38275.7927997282,40.08,"North Pacific",0.00227239079671789,2767,1986-08-13,FALSE,38275.7927997282,10.5525729335636,8.04110031755614,2.51147261600743
"25",25,25,15,8,1986,41.33,153,48071.0580521637,76.9,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.35248559713364,48071.0580521637,41.33,"North Pacific",-0.0514673669332738,2769,1986-08-15,FALSE,48071.0580521637,10.7804355713003,8.01263705716429,2.76779851413603
"26",26,26,16,8,1986,40.33,150.5,42688.0850217003,32.4,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.74262231588364,42688.0850217003,40.33,"North Pacific",0.087144516438302,2770,1986-08-16,FALSE,42688.0850217003,10.6616751209736,8.08605283528582,2.57562228568774
"27",27,27,21,5,2019,31.85,-15.05,45667.4789055059,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",7.34017777442932,45667.4789055059,31.85,"North Atlantic",-0.0424903826644466,14736,2019-05-21,FALSE,45667.4789055059,10.7291417022359,7.47849565167076,3.25064605056517
"28",28,28,24,5,2019,33.8933333333333,-17.1418333333333,7141.84621842879,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.59994339942932,7141.84621842879,33.8933333333333,"North Atlantic",-0.0320635561325215,14739,2019-05-24,FALSE,7141.84621842879,8.87372659591877,7.48401821989911,1.38970837601966
"29",29,29,26,5,2019,36.9421666666667,-23.9345,19883.6761819868,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.53060746192932,19883.6761819868,36.9421666666667,"North Atlantic",-0.0434085570891028,14741,2019-05-26,FALSE,19883.6761819868,9.89765438172623,7.47800934062586,2.41964504110037
"30",30,30,29,5,2019,37.9765,-24.2238333333333,1425.35136517068,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.30550980567932,1425.35136517068,37.9765,"North Atlantic",-0.0345737836405469,14744,2019-05-29,FALSE,1425.35136517068,7.26217363435846,7.48268867800644,-0.220515043647984
"31",31,31,2,6,2019,44.761,-18.9551666666667,12925.752025629,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",7.32903164625168,12925.752025629,44.761,"North Atlantic",-0.0624122893166438,14748,2019-06-02,FALSE,12925.752025629,9.4669768814851,7.46794401466129,1.99903286682381
"32",32,32,6,6,2019,51.2948333333333,-8.973,5631.1152708624,NA,"Canary Ireland 5 Gyres",330,"Not Corrected",4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.36760586500168,5631.1152708624,51.2948333333333,"North Atlantic",-0.0744227779034557,14752,2019-06-06,FALSE,5631.1152708624,8.63606279580738,7.46158265989305,1.17448013591433
"33",94,94,15,7,1985,54.806,-155,79284.9073362179,560,"Day & Shaw 1987",333,"Count concentration calculated and day set to 15",NA,1500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.10622382164001,79284.9073362179,54.806,"North Pacific",-0.0628454127277605,2373,1985-07-15,FALSE,79284.9073362179,11.2808030658801,8.00661067569406,3.27419239018601
"34",95,95,15,7,1985,53.736,-155,0,0,"Day & Shaw 1987",333,"Count concentration calculated and day set to 15",NA,1500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.99806952476501,0,53.736,"North Pacific",-0.0656489131721961,2373,1985-07-15,TRUE,735.586235133398,6.60066778012088,8.00512580180312,-1.40445802168224
"35",96,96,15,7,1985,52.688,-155,0,0,"Day & Shaw 1987",333,"Count concentration calculated and day set to 15",NA,1500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.89992499351501,0,52.688,"North Pacific",-0.0721306581273335,2373,1985-07-15,TRUE,40.7537278007041,3.70754731527473,8.00169274586381,-4.29414543058908
"36",97,97,15,7,1985,51.8,-155,0,0,"Day & Shaw 1987",333,"Count concentration calculated and day set to 15",NA,1500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.57326483726501,0,51.8,"North Pacific",-0.0697318389299604,2373,1985-07-15,TRUE,14.0252604337934,2.64086002049078,8.00296328034949,-5.36210325985871
